species	temp	injury_level	recov	replicate	Acq..Date.Time	TRT	Lactic_acid	Alanine	Valine	Leucine	Phosphoric_acid	Glycerol	Isoleucine	Proline	Glycine	Succinic_acid	Fumaric_acid	Pipecolic_acid	Serine	Threonine	Malic_acid	Methionine	Aspartate	GABA	Glutamate	Phenylalanine	Asparagine	Putrescine	Ornithine	Citric_acid	Fructose	Glucose	Lysine	Tyrosine	Mannitol	Inositol	Sucrose	Trehalose
SA	20	C	R	3	20/10/2022 10:09	C	0.574848003	2.904113345	3.968484819	0.926409389	10.52279535	0.331491613	2.254551126	3.02253961	0.738387078	0.674137246	0.81475702	0.321416436	1.909623585	2.984169463	1.316702183	0.827339021	1.388870015	1.296519863	5.01760345	1.673834111	10.71676489	0.138386654	0.844218197	1.007223233	1.717709406	16.42643649	5.424973863	5.265917529	1.019085365	0.553324307	0.503853909	39.148241
SA	20	C	R	4	25/10/2022 07:40	C	0.438060755	2.714510887	4.547632413	1.615472228	8.928214768	0.327261807	3.134905652	2.462832003	0.681081624	0.398639686	0.316128592	0.262588698	1.783842282	2.946843611	1.147131314	0.700523217	0.953231516	1.413996654	3.923115075	1.612798489	7.737073797	0.080415576	0.527682081	0.678113911	0.983987348	9.858116428	3.131975336	4.524078405	1.008294415	0.478370665	0.368689718	32.50427208
SA	20	C	R	5	26/10/2022 18:34	C	0.042899295	2.710813182	4.00089869	1.305030978	9.340774588	0.230741405	2.717916961	3.847897314	0.866261892	0.468651387	0.350833653	0.27276913	1.367431823	3.053118473	1.314503698	0.620141552	0.987209038	1.466152465	4.722942871	1.319922457	7.105699832	0.131973786	0.585906983	0.863195942	3.295777579	15.28801721	2.917797717	6.741450663	1.086419086	0.594370699	0.400997162	33.22524735
SA	20	C	R	6	17/11/2022 11:24	C	0.211897333	2.025673444	3.289826638	1.013854232	15.80154328	0.303614513	2.138100393	3.390945065	1.067584157	0.411439839	0.283635814	0.294660092	1.468516987	2.340831728	1.342061328	0.51362621	1.465424118	2.267805417	7.721840618	0.912265136	10.40743204	0.118712058	0.367167618	1.131800414	1.752606629	20.57275781	5.175148937	13.82779745	0.992712284	0.660548167	0.532173122	44.61406216
SA	20	C	R	7	18/11/2022 21:28	C	0.399472323	2.871004793	4.241591361	1.193604767	13.61581836	0.303614513	2.476118394	3.848403362	1.093852002	0.298086642	0.223144664	0.32494114	2.476061681	3.409630152	1.088130899	0.495537027	1.275003633	2.237906783	7.944307106	1.609446156	11.92157754	0.113050604	0.444728855	0.69884268	1.279810787	21.55578873	4.127688107	14.48215932	1.945916364	0.709714766	0.400843705	40.79662568
SA	20	C	R	8	26/11/2022 01:26	C	0.849617263	4.102620799	3.985615252	1.733005132	15.46187589	0.303614513	2.855853043	4.092423482	1.444336043	0.409375909	0.390366181	0.180144551	2.132370057	3.793349519	1.485151904	0.646108649	1.396449297	2.029284474	9.139406269	1.827823061	17.3555087	0.039798822	0.439776518	0.97756122	2.810619593	36.93071731	3.967561681	33.04881407	2.493885997	0.258434768	0.315849912	35.18483454
SA	34	1/2	D	1	12/10/2022 11:27	1/2 D	0.431603915	4.801832367	3.227474706	0.49494742	16.42302344	0.556785459	1.103932059	3.643410851	1.277900127	0.452397934	0.577033477	0.278792978	1.206920714	1.439359814	3.14582976	0.691175289	1.184763805	2.307542693	7.109615387	0.614626333	5.083147948	0.096956145	0.440701787	1.334153586	3.859878881	27.22469926	5.196917754	6.236979014	45.73872904	1.015089475	0.362182957	31.39911123
SA	34	1/2	D	2	14/10/2022 04:15	1/2 D	0.457733952	3.228124536	2.470511317	0.359643724	13.41680433	0.630932429	0.893553473	2.401469424	1.2161222	0.494820315	0.456699094	0.23204967	1.071563619	1.002748544	2.348268141	0.548136401	1.022890754	1.567576949	5.149762352	0.401745037	3.460209184	0.084169058	0.350316527	1.061678587	2.64474791	22.23855527	4.151172471	4.520509712	32.05350367	0.606046371	0.278377886	21.87466977
SA	34	1/2	D	3	20/10/2022 10:59	1/2 D	1.167340444	3.077247695	2.182697062	0.548019547	9.762006864	0.727300882	0.973915802	2.8157076	1.02957196	0.819816259	1.295513832	0.504015164	1.015420796	1.031447521	2.275340431	0.777088904	1.050170522	1.443462942	3.839648393	1.092779799	5.677995241	0.026620758	1.067550825	1.264310677	1.996926421	32.21454267	3.462115384	3.699972253	39.26747651	0.933261396	0.644126803	24.62597976
SA	34	1/2	D	4	25/10/2022 08:30	1/2 D	0.44165536	3.320651857	2.689203073	0.407855124	13.46584125	0.777992376	1.063727457	2.966355935	1.18285323	0.539635963	0.44095995	0.283000982	0.994036977	1.146331573	2.371007422	0.361968543	0.881225034	1.536582538	4.823708355	0.426321293	2.228435241	0.084468063	0.421301669	0.926531485	2.084883467	27.07660782	3.100137852	4.332030162	37.48263314	0.663702898	0.3294511	22.87058888
