species	temp	injury_level	recov	replicate	Acq..Date.Time	TRT	Lactic_acid	Alanine	Valine	Leucine	Phosphoric_acid	Glycerol	Isoleucine	Proline	Glycine	Succinic_acid	Fumaric_acid	Pipecolic_acid	Serine	Threonine	Malic_acid	Methionine	Aspartate	GABA	Glutamate	Phenylalanine	Asparagine	Putrescine	Ornithine	Citric_acid	Fructose	Glucose	Lysine	Tyrosine	Mannitol	Inositol	Sucrose	Trehalose
MD	20	C	R	3	11/10/2022 22:59	MD20R	1.977543968	11.85046389	4.201979166	1.583607457	15.6207208	0.944387775	2.534022827	6.925035866	1.88007138	1.172512408	0.434439866	0.263076114	2.266278559	3.261634821	1.735198427	1.351180359	0.55840944	2.219824269	7.649466838	1.810754424	14.93598567	1.259807135	1.065434315	1.438355008	2.134493848	74.89744672	9.500344888	7.108039047	3.537762074	0.675285759	0.925497597	19.59881589
MD	20	C	R	4	13/10/2022 15:47	MD20R	4.583946706	9.831961835	4.036022692	1.78126608	14.20472099	0.508141347	2.929995421	5.621062671	1.072292377	0.787371105	0.447978792	0.322536696	2.773740467	2.782511098	1.441031253	1.312257226	0.468514268	1.712288766	6.056156887	2.010342785	10.48650181	1.163151999	1.337748153	1.429579982	2.053803703	56.93522224	8.803942823	6.098159778	1.869962408	0.711624478	0.837707775	12.85643701
MD	20	C	R	5	19/10/2022 22:31	MD20R	2.731814689	9.588726174	3.497443951	1.979027714	9.761461284	0.871457157	2.577879787	5.69156701	1.442613457	1.104765514	0.967179968	0.346051733	2.489397624	2.898367411	1.347723021	1.189369471	0.672610739	1.360135801	5.145026411	2.042719549	7.395720172	0.890511893	1.294500011	1.389611737	1.777358331	71.77362987	8.729260855	4.121421413	3.076772243	0.64582047	0.791998697	18.05010369
MD	20	C	R	6	21/10/2022 09:25	MD20R	4.39302491	6.076932813	2.877976099	1.427200239	8.856556997	0.519995621	2.156391322	4.759298299	0.777590089	1.022943844	1.136729637	0.337697418	1.375144398	1.906321388	2.382502862	1.029072491	0.731078772	1.239564519	4.603528423	1.781357299	7.291738333	0.632137439	1.31034623	1.596821105	1.975186534	34.1849267	4.687782228	3.814833265	2.244116941	0.638875403	1.11146051	27.81038219
MD	20	C	R	7	25/11/2022 12:08	MD20R	0.767483887	4.351219148	3.225564807	1.253388688	12.14593222	0.710995475	2.515546047	5.065518991	0.72352479	0.416553018	0.426590208	0.156757223	1.623220308	2.199632918	1.675254585	0.595327324	1.153221141	1.144588655	7.775178991	1.719526318	8.689937832	0.62504043	0.628800939	1.383771101	1.74641675	25.01355711	5.923990621	16.74510394	3.90500192	0.165174255	0.866166893	21.18795262
MD	20	C	R	8	25/11/2022 19:37	MD20R	0.683804522	5.289407005	2.85064102	0.921370423	9.4197384	0.710995475	2.3155909	4.260184319	1.22611188	0.526586724	0.264411594	0.13882866	1.465846692	1.770404218	1.205198244	0.546401969	0.315205665	1.657826878	6.29804977	1.477606426	6.851994095	1.072457757	0.71111442	1.006859704	1.774487605	80.12358393	6.985094739	12.9228169	3.04995233	0.158852493	0.814836242	27.62402431
MD	34	F	D	1	12/10/2022 05:38	MD34D	1.45773871	11.63898287	3.078744645	1.46783168	19.32365549	0.322325625	1.583653892	7.234351693	1.603579966	1.491620143	0.785100613	0.324490076	2.162125885	2.518069811	3.375328655	0.782227512	0.729926526	2.548287218	8.950108742	1.322098719	8.335743937	0.616883744	1.085083741	2.307680073	3.953049135	50.91319219	10.51808728	8.599151575	38.13100538	0.962614256	0.539425344	20.03704158
MD	34	F	D	2	13/10/2022 22:26	MD34D	0.407400531	7.534132169	2.458913854	1.36251476	14.3665233	0.026630868	1.249673294	5.370860493	1.428929737	0.683128229	0.586619153	0.319092388	1.761751061	2.077134587	2.14329549	1.13206835	0.692589468	2.123942441	6.700709735	1.040359718	6.617996503	0.617113125	1.077042663	1.542687027	3.864407644	28.77063941	10.21092043	5.54820306	28.18705038	0.775215056	0.538582019	13.03975819
MD	34	F	D	3	20/10/2022 05:10	MD34D	3.011379714	6.63963551	2.034134784	1.142778865	8.687508168	0.335921528	1.266477933	3.977462862	1.236425466	1.320789848	1.688702897	0.595058158	1.594863698	1.629630466	2.374205336	1.230359048	1.072380207	1.861925374	4.118280951	1.637256954	8.49566554	0.256702208	1.496579673	1.711345394	1.875729899	33.2277269	5.380664783	3.718465876	23.91382856	1.094352959	0.905898465	13.74218432
MD	34	F	D	4	21/10/2022 16:04	MD34D	1.198225191	7.501329509	2.480391564	1.225267409	11.95563294	0.40545759	1.266455314	5.770654275	2.085885389	1.21641809	1.52177262	0.483330603	1.931872666	2.298943669	3.069174864	1.169024365	1.13700714	2.135594547	6.063415091	1.574226005	8.254239914	0.767619106	1.58938674	1.949960505	4.325819219	35.28318133	11.16914404	5.0996306	42.058363	0.944347714	0.719493814	17.74733057
MD	34	F	D	5	26/10/2022 13:35	MD34D	2.299537824	7.032137654	2.022622448	0.884145321	7.914615339	0.300419899	1.030301849	4.136521019	1.522913795	0.847950844	0.587519861	0.387107161	1.182774713	1.456289158	2.018554404	0.621996954	0.538415169	1.580616876	3.982166019	0.821700238	3.308497862	0.324615077	0.925363485	1.320893933	2.513054837	22.20231382	6.059030318	3.190696515	31.91880795	0.840934174	0.636592054	15.26173973
MD	34	F	D	6	28/10/2022 00:29	MD34D	1.833758877	5.933996701	1.878351015	0.848296712	7.963134217	0.226385354	1.181893808	4.029308025	1.014397232	0.82068464	0.715815332	0.516654122	1.382705653	1.389107591	2.505484515	1.045069809	0.673066914	1.395385295	3.575065125	0.988597385	3.267749768	0.306164136	1.097523757	1.626448937	2.401421487	18.30204624	3.94271272	2.839121115	23.88857235	0.994446708	0.87011524	13.87701667
MD	34	F	D	7	18/11/2022 16:29	MD34D	3.765262931	5.987409938	2.157865945	0.927543695	14.38551494	0.269523477	1.306580801	4.6853188	2.105691081	0.637854981	0.327936043	0.768282434	2.142358989	1.573965866	2.307361289	0.520214932	0.939812021	3.219759044	7.263365307	0.625011802	4.247470707	0.058027322	0.688934979	1.701234288	2.744021742	61.24176179	7.350057116	9.100295121	40.9541413	1.070722555	0.152264722	13.60140942
MD	34	F	D	8	26/11/2022 23:02	MD34D	1.118554946	7.719844495	2.163748762	0.853398714	14.87192782	0.269523477	1.450601919	5.646338712	2.049975805	0.929115105	0.505897094	0.262395892	1.949895624	1.698490478	1.89428081	0.920195575	0.438110399	2.955125102	8.498463339	0.76458809	5.508871185	0.446403524	0.467128479	1.656239216	2.918058865	58.61150776	13.08503483	15.8818456	37.39397377	0.560483386	0.371434511	16.8079858
MD	34	F	R	1	12/10/2022 06:28	MD34R	0.840181976	10.24289808	5.098024954	1.480288042	14.35165621	0.201656496	2.560611431	9.273701668	1.631626876	1.374781649	0.603596035	0.363238354	2.710411236	4.328476441	2.385837263	1.603064292	0.471418875	1.984178288	6.80060129	2.861750236	15.84946007	0.568516631	1.037175778	1.248704273	1.8789148	61.71153638	4.395573373	10.19470908	5.21276833	0.909737946	0.984512847	22.08034961
MD	34	F	R	2	13/10/2022 23:16	MD34R	0.424652354	7.526257849	3.763591777	1.199935992	15.6089202	0.239433767	2.164065576	8.88989402	1.315766834	0.909757715	0.560584021	0.393601558	2.212626164	2.821633328	1.874005459	1.508874354	0.496541549	1.940303501	7.29587897	2.38853029	14.62319525	0.826866802	1.288125775	1.223954996	1.55660308	43.41085794	5.653736603	8.795411869	5.0139204	0.825590957	0.939206749	21.62126457
MD	34	F	R	3	20/10/2022 05:59	MD34R	2.094937986	6.424794392	2.919293678	1.238087889	8.173436496	0.468057311	1.729299262	7.006432606	1.294881446	1.443252652	1.890283372	0.7203903	2.113306159	2.718261928	2.462889955	1.672214904	1.251915043	1.787170598	4.242905807	2.553360914	11.54883887	0.530967005	1.928167753	1.704615406	1.734428386	49.55074754	3.5266512	5.376957784	3.984983589	1.253883154	1.334283288	20.36396594
MD	34	F	R	4	21/10/2022 16:53	MD34R	0.379248628	7.065632714	3.22641446	0.899637135	11.58058813	0.509451049	1.689417301	8.747953924	1.250242219	1.29657382	1.331315939	0.486679334	1.691520779	2.522961434	2.170666708	1.16440216	0.894645474	1.593136227	5.240333375	2.126460756	11.61650641	0.670089407	1.457362325	1.620607338	1.624800651	49.60104274	3.722270502	5.352745031	3.349253139	0.820280434	0.868227377	21.96548106
