"","species","temp","injurylevel","recov","replicate","Acq..Date.Time","TRT","metabolites","conc","fold_change","log_foldchange","group"
"38","MD",-5,"1/2","R",8,"2022/11/19 23:14","1/2 R","Lactic_acid",0.203295772,0.080579030138368,-3.63345174868369,"Organic acids"
"39","MD",-5,"2/2","D",1,"2022/10/12 03:09","2/2 D","Lactic_acid",0.253423482,0.100447826302301,-3.31548175049582,"Organic acids"
"40","MD",-5,"2/2","D",2,"2022/10/13 19:57","2/2 D","Lactic_acid",0.641960477,0.25444972177692,-1.97454748105811,"Organic acids"
"41","MD",-5,"2/2","D",3,"2022/10/20 02:40","2/2 D","Lactic_acid",0.561030238,0.222371926437987,-2.16895342978084,"Organic acids"
"42","MD",-5,"2/2","D",4,"2022/10/21 13:34","2/2 D","Lactic_acid",1.804470434,0.715226273791272,-0.483528360082932,"Organic acids"
"43","MD",-5,"2/2","D",5,"2022/11/25 16:17","2/2 D","Lactic_acid",0.310820881,0.123198062071518,-3.02094853253799,"Organic acids"
"44","MD",-5,"2/2","D",6,"2022/10/27 21:59","2/2 D","Lactic_acid",0.555048646285714,0.220001041621844,-2.1844177405051,"Organic acids"
"45","MD",-5,"2/2","D",7,"2022/11/18 13:59","2/2 D","Lactic_acid",0.164930815,0.0653725602942229,-3.93517098882973,"Organic acids"
"46","MD",-5,"2/2","D",8,"2022/11/20 00:03","2/2 D","Lactic_acid",0.148704197,0.0589409206786888,-4.08458659371382,"Organic acids"
"47","MD",34,"2/2","D",1,"2022/10/12 03:59","2/2 D","Lactic_acid",4.631673159,1.83582633026982,0.876429585816387,"Organic acids"
"48","MD",34,"2/2","D",2,"2022/10/13 20:46","2/2 D","Lactic_acid",4.731916014,1.87555894228992,0.907320602595841,"Organic acids"
"49","MD",34,"2/2","D",3,"2022/10/20 03:30","2/2 D","Lactic_acid",1.767597348,0.700611127205298,-0.513314193478156,"Organic acids"
"50","MD",34,"2/2","D",4,"2022/10/21 14:24","2/2 D","Lactic_acid",2.049523215,0.812356259483693,-0.299815533644265,"Organic acids"
"51","MD",34,"2/2","D",5,"2022/10/26 11:55","2/2 D","Lactic_acid",3.359519096,1.33159085318807,0.413150865628709,"Organic acids"
"52","MD",34,"2/2","D",6,"2022/10/27 22:49","2/2 D","Lactic_acid",2.819456433,1.11752970882504,0.160313185059459,"Organic acids"
"53","MD",34,"2/2","D",7,"2022/11/18 14:49","2/2 D","Lactic_acid",1.5674108,0.621264480071939,-0.686720522321853,"Organic acids"
"54","MD",34,"2/2","D",8,"44885.03733","2/2 D","Lactic_acid",1.652905886,0.655151614288761,-0.610099283090552,"Organic acids"
"55","MD",34,"2/2","R",1,"2022/10/12 04:48","2/2 R","Lactic_acid",1.341019978,0.531531414354331,-0.911773135033338,"Organic acids"
"56","MD",34,"2/2","R",2,"2022/10/13 21:36","2/2 R","Lactic_acid",0.911185798,0.361160820790188,-1.46928669907156,"Organic acids"
"57","MD",34,"2/2","R",3,"2022/10/20 04:20","2/2 R","Lactic_acid",0.831606215,0.329618376233319,-1.60113141983691,"Organic acids"
"58","MD",34,"2/2","R",4,"2022/10/21 15:14","2/2 R","Lactic_acid",0.938503229,0.371988454214122,-1.42667025125977,"Organic acids"
"59","MD",34,"2/2","R",5,"2022/11/25 17:57","2/2 R","Lactic_acid",2.963682456,1.17469564464221,0.232287013093891,"Organic acids"
"60","MD",34,"2/2","R",6,"2022/11/25 21:16","2/2 R","Lactic_acid",2.014299786,0.79839497677208,-0.324825451127027,"Organic acids"
"61","MD",34,"2/2","R",7,"2022/11/18 15:39","2/2 R","Lactic_acid",1.430478666,0.566989575857517,-0.818605883523934,"Organic acids"
"62","MD",34,"2/2","R",8,"2022/11/26 22:12","2/2 R","Lactic_acid",0.121514762,0.048164020201338,-4.37590037237665,"Organic acids"
"63","MD",34,"F","D",1,"2022/10/12 05:38","F D","Lactic_acid",1.45773871,0.577794463167466,-0.791371715836186,"Organic acids"
